mirna	HC1-Th17	HC2-nonTh17	HC2-Th17	HC3-nonTh17	HC3-Th17	HC4-nonTh17	HC4-Th17	AS1-nonTh17	AS1-Th17AS2-nonTh17	AS2-Th17	AS3-nonTh17	AS4-nonTh17
hsa-miR-487a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-487a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-487b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-487b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-488-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-488-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-489-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-489-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-490-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-490-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-491-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-491-5p	1	1	2	0	0	0	0	2	0	0	5	0	1
hsa-miR-492	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-493-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-493-5p	0	0	0	0	0	0	0	0	1	0	0	0	3
hsa-miR-494-3p	0	0	0	0	0	0	0	0	5	0	0	1	0
hsa-miR-494-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-495-3p	0	0	0	0	0	0	0	0	2	0	0	3	0
hsa-miR-495-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-496	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-497-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-497-5p	0	1	1	4	1	0	0	3	0	0	0	0	1
hsa-miR-498	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4999-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4999-5p	1	3	5	0	1	6	1	7	4	0	0	0	9
hsa-miR-499a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-499a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-499b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-499b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5000-3p	0	0	2	0	0	2	1	0	0	2	0	0	1
hsa-miR-5000-5p	0	0	1	1	0	0	0	0	1	0	0	0	1
hsa-miR-5001-3p	0	1	2	0	1	1	0	0	0	0	0	0	0
hsa-miR-5001-5p	0	1	3	2	1	4	1	4	4	1	0	2	4
hsa-miR-5002-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5002-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5003-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5003-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5004-3p	0	0	1	0	0	0	0	1	0	0	0	0	0
hsa-miR-5004-5p	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5006-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5006-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5007-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5007-5p	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-5008-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5008-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5009-3p	0	1	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-5009-5p	1	1	0	3	5	2	0	2	1	0	0	0	1
hsa-miR-500a-3p	1	20	23	25	40	9	0	29	15	7	0	36	22
hsa-miR-500a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-500b-3p	0	0	1	8	7	0	0	1	1	0	0	5	3
hsa-miR-500b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-501-3p	14	50	75	96	69	52	12	102	44	17	0	67	70
hsa-miR-501-5p	1	1	5	8	4	1	2	1	1	1	0	8	4
hsa-miR-5010-3p	2	1	0	0	2	0	0	3	0	0	0	0	2
hsa-miR-5010-5p	0	0	0	0	0	0	0	0	0	0	0	2	1
hsa-miR-5011-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5011-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-502-3p	1	29	35	28	32	24	5	33	16	6	0	16	49
hsa-miR-502-5p	0	1	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-503-3p	0	0	0	1	2	0	0	0	0	0	0	0	0
hsa-miR-503-5p	1	16	11	18	49	1	0	0	8	3	0	12	1
hsa-miR-504-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-504-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5047	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-505-3p	7	55	28	37	50	29	7	53	26	24	0	57	52
hsa-miR-505-5p	5	16	37	54	25	48	18	57	67	48	0	62	51
hsa-miR-506-3p	0	0	0	0	0	1	0	1	0	0	0	0	1
hsa-miR-506-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-507	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-508-3p	0	5	1	0	0	3	5	8	8	12	0	1	8
hsa-miR-508-5p	0	0	0	0	0	0	0	1	0	0	0	0	1
hsa-miR-5087	0	0	0	2	0	0	0	0	0	0	0	0	0
hsa-miR-5088-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5088-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5089-3p	0	1	0	0	0	0	0	0	0	0	0	1	1
hsa-miR-5089-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-509-3-5p	0	1	2	4	0	2	1	4	0	13	0	0	2
hsa-miR-509-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-509-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5090	2	2	0	1	3	2	3	14	10	7	0	6	6
hsa-miR-5091	0	0	0	1	0	0	0	0	0	1	0	0	0
hsa-miR-5092	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5093	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5094	0	1	0	1	2	0	0	0	0	0	0	0	0
hsa-miR-5095	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5096	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-510-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-510-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5100	113	175	332	760	314	247	25	476	114	15	0	49	74
hsa-miR-511-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-511-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-512-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-512-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-513a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-513a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-513b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-513b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-513c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-513c-5p	0	0	1	0	0	2	0	2	0	1	0	0	0
hsa-miR-514a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-514a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-514b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-514b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-515-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-515-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-516a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-516a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-516b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-516b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-517-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-517a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-517b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-517c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5186	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5187-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5187-5p	0	0	0	0	0	1	0	1	0	0	0	0	2
hsa-miR-5188	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-5189-3p	0	0	0	1	1	0	0	0	0	0	0	0	0
hsa-miR-5189-5p	0	0	1	1	0	0	0	0	0	0	0	0	0
hsa-miR-518a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-518a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-518b	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-518c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-518c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-518d-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-518d-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-518e-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-518e-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-518f-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-518f-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5190	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5191	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5192	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5193	1	5	2	2	0	5	2	18	5	0	0	0	7
hsa-miR-5194	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5195-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5195-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5196-3p	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5196-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5197-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5197-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-519a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-519a-5p	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-519b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-519b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-519c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-519c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-519d-3p	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-519d-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-519e-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-519e-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-520a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-520a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-520b	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-520c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-520c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-520d-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-520d-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-520e	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-520f-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-520f-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-520g-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-520g-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-520h	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-521	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-522-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-522-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-523-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-523-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-524-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-524-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-525-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-525-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-526a	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-526b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-526b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-527	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-532-3p	1	2	1	6	2	2	0	10	2	0	0	6	5
hsa-miR-532-5p	65	474	1135	1144	817	638	148	1156	389	262	10	907	1222
hsa-miR-539-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-539-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-541-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-541-5p	0	0	0	0	0	0	0	1	6	0	0	0	2
hsa-miR-542-3p	0	7	9	3	4	1	0	0	1	4	0	2	4
hsa-miR-542-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-543	0	0	0	2	0	0	0	6	16	0	0	22	3
hsa-miR-544a	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-544b	0	2	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-545-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-545-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548aa	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548ab	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548ac	0	0	0	1	1	0	0	2	0	0	0	0	1
hsa-miR-548ad	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548ae	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548ag	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548ah-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548ah-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548ai	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548aj-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548aj-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548ak	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548al	0	2	0	1	1	2	0	1	0	0	0	0	0
hsa-miR-548am-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548am-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548an	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548ao-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548ao-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548ap-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548ap-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548aq-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548aq-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548ar-3p	0	1	0	1	1	0	0	0	0	0	0	0	0
hsa-miR-548ar-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548as-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548as-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548at-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548at-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548au-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548au-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548av-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548av-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548aw	0	0	0	0	0	0	0	1	0	0	0	1	0
hsa-miR-548ax	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548ay-3p	1	0	6	1	2	0	0	0	0	0	0	1	3
hsa-miR-548ay-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548az-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548az-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548b-3p	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-548b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548ba	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548d-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548d-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548e-3p	0	46	26	3	9	2	1	6	1	2	0	7	16
hsa-miR-548e-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548f-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548f-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548g-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548g-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548h-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548h-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548i	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548j-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548j-5p	3	22	5	6	6	1	1	0	2	0	0	4	4
hsa-miR-548k	0	5	2	0	1	1	1	3	1	0	0	0	2
hsa-miR-548l	0	8	6	0	0	0	2	0	0	0	0	2	0
hsa-miR-548m	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548n	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548o-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548o-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548q	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548s	0	0	0	0	1	1	0	0	0	0	0	1	0
hsa-miR-548t-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548t-5p	0	0	0	1	0	0	0	1	0	0	0	0	0
hsa-miR-548u	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548v	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548w	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548x-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548x-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548y	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548z	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-549a	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-550a-3-5p	0	0	3	0	1	0	0	0	1	0	0	5	2
hsa-miR-550a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-550a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-550b-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-550b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-551a	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-551b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-551b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-552-3p	0	1	0	0	0	1	0	0	0	0	0	0	1
hsa-miR-552-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-553	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-554	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-555	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-556-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-556-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-557	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5571-3p	0	0	0	0	0	0	0	0	0	0	0	2	0
hsa-miR-5571-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5572	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5579-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5579-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-558	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5580-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5580-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5581-3p	0	0	0	0	0	0	0	1	0	0	0	0	1
hsa-miR-5581-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5582-3p	0	1	2	1	3	0	0	0	0	0	0	0	0
hsa-miR-5582-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5583-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5583-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5584-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5584-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5585-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5585-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5586-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5586-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5587-3p	2	0	0	2	1	0	0	0	0	0	0	0	0
hsa-miR-5587-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5588-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5588-5p	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-5589-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5589-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-559	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5590-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5590-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5591-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5591-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-561-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-561-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-562	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-563	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-564	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-566	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-567	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-568	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5680	0	0	0	1	4	0	0	0	0	0	0	0	0
hsa-miR-5681a	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5681b	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5682	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5683	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5684	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5685	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5687	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5688	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5689	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-569	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5690	0	1	0	2	2	2	0	2	0	0	0	0	1
hsa-miR-5691	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5692a	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5692b	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5692c	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-5693	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5694	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5695	0	1	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-5696	0	3	0	1	0	1	0	0	0	0	0	0	5
hsa-miR-5697	0	0	3	0	1	0	0	0	0	1	0	0	2
hsa-miR-5698	0	0	0	1	0	0	0	0	0	1	0	0	1
hsa-miR-5699-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5699-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-570-3p	0	1	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-570-5p	0	0	1	0	0	0	0	0	0	0	0	1	0
hsa-miR-5700	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5701	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5702	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5703	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5704	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5705	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5706	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-5707	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5708	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-571	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-572	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-573	0	0	7	6	3	0	0	1	0	0	0	1	0
hsa-miR-5739	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-574-3p	0	0	0	0	2	0	2	3	2	0	0	3	0
hsa-miR-574-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-575	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-576-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
